Entity,Code,Year,all years
Greece,GRC,1950,7651080
Greece,GRC,1951,7712877
Greece,GRC,1952,7775541
Greece,GRC,1953,7841269
Greece,GRC,1954,7910864
Greece,GRC,1955,7984712
Greece,GRC,1956,8060991
Greece,GRC,1957,8136981
Greece,GRC,1958,8214992
Greece,GRC,1959,8297715
Greece,GRC,1960,8384484
Greece,GRC,1961,8447008
Greece,GRC,1962,8473374
Greece,GRC,1963,8488371
Greece,GRC,1964,8504000
Greece,GRC,1965,8521368
Greece,GRC,1966,8579991
Greece,GRC,1967,8655153
Greece,GRC,1968,8717916
Greece,GRC,1969,8747069
Greece,GRC,1970,8747778
Greece,GRC,1971,8787031
Greece,GRC,1972,8849379
Greece,GRC,1973,8893404
Greece,GRC,1974,8929111
Greece,GRC,1975,9016969
Greece,GRC,1976,9160211
Greece,GRC,1977,9282025
Greece,GRC,1978,9389966
Greece,GRC,1979,9526008
Greece,GRC,1980,9653419
Greece,GRC,1981,9754398
Greece,GRC,1982,9837470
Greece,GRC,1983,9911493
Greece,GRC,1984,9978779
Greece,GRC,1985,10037038
Greece,GRC,1986,10088766
Greece,GRC,1987,10134533
Greece,GRC,1988,10177007
Greece,GRC,1989,10218041
Greece,GRC,1990,10258494
Greece,GRC,1991,10306645
Greece,GRC,1992,10359895
Greece,GRC,1993,10412752
Greece,GRC,1994,10466266
Greece,GRC,1995,10519233
Greece,GRC,1996,10570083
Greece,GRC,1997,10622327
Greece,GRC,1998,10675411
Greece,GRC,1999,10727953
Greece,GRC,2000,10782638
Greece,GRC,2001,10843166
Greece,GRC,2002,10890287
Greece,GRC,2003,10918467
Greece,GRC,2004,10947369
Greece,GRC,2005,10981340
Greece,GRC,2006,11016107
Greece,GRC,2007,11045737
Greece,GRC,2008,11076874
Greece,GRC,2009,11108067
Greece,GRC,2010,11124666
Greece,GRC,2011,11108838
Greece,GRC,2012,11048291
Greece,GRC,2013,10967534
Greece,GRC,2014,10893169
Greece,GRC,2015,10820902
Greece,GRC,2016,10775506
Greece,GRC,2017,10753532
Greece,GRC,2018,10730846
Greece,GRC,2019,10718581
Greece,GRC,2020,10699370
Greece,GRC,2021,10579561
Greece,GRC,2022,10412481
Greece,GRC,2023,10242910